gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Son en Breugel;848;0848::SB9;Hoogstraat, De Boerderij;5694VR;51,51938558;5,515217927;1099;1296;0,847993827;0;1;0;197;214;44;168;149;123;142;17;104;4;39;51;6;4;2;19;1;1;0;6;0;3;0;1;3;4;VVD;PVV;SP;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stadskanaal;37;0037::SB1;Gemeentehuis;9501SZ;52,98941085;6,953814903;1333;1222;1;1;0;0;0;199;150;196;180;231;98;71;69;9;30;64;1;2;2;21;1;0;1;4;0;0;2;5;1;3;CDA;VVD;PVV;10;5;5;;;;;5;80;;;10;5;;;;1,3;10;;;10;;;;;;;;;10;;144;990;2070
Stadskanaal;37;0037::SB2;Drouwenerhof;9503AV;52,98878438;6,944708921;998;1339;0,745332338;0;1;0;341;146;82;146;158;161;69;70;64;7;22;48;1;0;0;19;1;0;0;1;0;1;0;5;4;1;CDA;SP;VVD;70;35;35;;;10;25;35;100;;;35;25;15;;;1,4;55;10;;;;;45;;;90;10;45;50;;97;1260;2340
Stadskanaal;37;0037::SB3;De Rank Oosterkade 5;9503HN;52,97810986;6,965752132;939;1408;0,666903409;0;1;0;469;97;51;181;218;104;57;77;47;15;16;32;1;2;0;29;0;0;0;9;1;1;1;4;3;5;SP;PVV;CDA;50;25;30;10;;15;15;10;100;;;20;5;10;;5;2,4;20;15;;;;;;;;;90;;;;142;2140;3390
Stadskanaal;37;0037::SB4;Hagenhofschool;9501WD;52,98371005;6,964961184;938;1129;0,830823738;0;1;0;191;90;87;137;188;111;65;83;81;16;11;35;1;1;0;28;1;0;1;1;0;0;0;4;3;5;SP;PVV;CDA;20;10;10;;5;;10;5;100;;;10;;;;;2,4;10;;;;10;;;;;;;;;;164;2160;3230
Stadskanaal;37;0037::SB5;Maarsheerd;9501AM;52,99293494;6,949425169;1084;1236;0,877022654;0;1;0;152;157;102;135;149;225;75;112;37;11;15;46;5;1;0;11;1;0;1;1;0;0;0;5;1;4;CDA;VVD;SP;100;25;75;;;;;100;100;;;5;;;;;1,2;110;;;;;110;;;;;;;110;15;;0;
Stadskanaal;37;0037::SB6;Chr Gereformeerde Kerk;9501BZ;52,9869473;6,959966788;1370;1495;0,91638796;0;1;0;125;153;130;148;214;226;105;175;83;15;18;61;1;7;0;26;0;0;0;5;0;0;0;5;4;7;CDA;SP;CU;150;55;95;10;;5;20;115;90;10;;95;55;35;;;1,5;100;;;;;;40;60;;90;10;90;80;;148;800;1960
Stadskanaal;37;0037::SB7;Gebouw Wijkraad Maarswold;9501PT;52,990289;6,957162999;812;1872;0,433760684;0;0;1;1060;56;83;202;213;58;30;41;46;2;20;43;2;2;1;11;0;0;0;2;0;0;0;4;3;2;SP;PVV;PvDA;30;10;20;;;;;25;90;;;20;15;5;;;1,3;25;;25;;;;;;;;;;25;;82;980;1510
Stadskanaal;37;0037::SB8;Meester Neuteboomschool;9502CR;52,997566;6,967366089;1419;1364;1;1;0;0;0;124;135;248;309;158;117;117;95;10;28;43;4;4;0;18;1;0;0;1;0;6;0;4;3;5;SP;PVV;CDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stadskanaal;37;0037::SB9;Pagedal, Hoveniersweg 1;9502BW;52,99406968;6,980882781;871;1343;0,648548027;0;0;1;472;188;57;84;98;132;94;70;61;8;13;23;0;2;0;27;0;0;0;2;1;9;0;1;5;4;VVD;CDA;SP;10;;10;;10;;;;60;;;10;10;;;;1,1;;;;;;;;;;;;;;;;;
